Name,Adress,Zip,Grade,Score,Latitude,Longitude,Coordinates
TONG DUMPLING,"10869 N WOLFE RD ,CUPERTINO, CA 95014",95014,Pass,57,37.335652,-122.015257,"(37.335652,-122.015257)"
HOMESTEAD BOWL,"20990 HOMESTEAD RD,CUPERTINO, CA 95014",95014,Pass,84,37.336281,-122.040156,"(37.336281,-122.040156)"
HAPPY LEMON,"10963 N WOLFE RD,CUPERTINO, CA 95014",95014,Pass,88,37.336286,-122.015173,"(37.336286,-122.015173)"
HOMESTEAD HIGH SCHOOL - CAFETERIA,"21370 HOMESTEAD RD,CUPERTINO, CA 95014",95014,Pass,94,37.33632,-122.048378,"(37.33632,-122.048378)"
FISH IS WILD FISH GRILL & MORE,"20672 HOMESTEAD RD ,CUPERTINO, CA 95014",95014,Pass,84,37.336586,-122.03485,"(37.336586,-122.03485)"
FORUM-RANCHO SAN ANTONIO RETIREMENT,"23500 CRISTO REY DR ,CUPERTINO, CA 95014",95014,Pass,93,37.336665,-122.085869,"(37.336665,-122.085869)"
PHO HOA NOODLE SOUP,"20674 HOMESTEAD RD,CUPERTINO, CA 95014",95014,Pass,100,37.336733,-122.036479,"(37.336733,-122.036479)"
SHANGHAI GARDEN RESTAURANT,"20956 HOMESTEAD RD,CUPERTINO, CA 95014",95014,Pass,71,37.336847,-122.040211,"(37.336847,-122.040211)"
FITNESS & WELLNESS CENTER,"19500 HOMESTEAD RD,CUPERTINO, CA 95014",95014,Pass,100,37.336961,-122.012781,"(37.336961,-122.012781)"
PEET'S COFFEE & TEA,"22350 HOMESTEAD RD ,CUPERTINO, CA 95014",95014,Pass,82,37.336989,-122.066264,"(37.336989,-122.066264)"
OAKMONT MARKET- BAKERY,"19952 HOMESTEAD RD ,CUPERTINO, CA 95014",95014,Pass,82,37.337046,-122.022572,"(37.337046,-122.022572)"
APPLE-HS01-CAFFE MAC,"18880 HOMESTEAD RD ,CUPERTINO, CA 95014",95014,Pass,97,37.33705,-122.003307,"(37.33705,-122.003307)"
RITE AID #5967- GROCERY,"20572 HOMESTEAD RD ,CUPERTINO, CA 95014",95014,Pass,92,37.337129,-122.033536,"(37.337129,-122.033536)"
7-ELEVEN FOOD STORE 2367-14320-F,"21220 HOMESTEAD RD ,CUPERTINO, CA 950140202",40202,Pass,89,37.337143,-122.045,"(37.337143,-122.045)"
YAYOI,"20682 HOMESTEAD RD,CUPERTINO, CA 95014",95014,Pass,89,37.337151,-122.036465,"(37.337151,-122.036465)"
SUBWAY,"22352 HOMESTEAD RD,CUPERTINO, CA 95014",95014,Pass,95,37.337162,-122.06618,"(37.337162,-122.06618)"
MCDONALD'S,"10990 N STELLING RD ,CUPERTINO, CA 95014",95014,Pass,92,37.337204,-122.040993,"(37.337204,-122.040993)"
STARBUCKS COFFEE #10885,"22390 HOMESTEAD RD ,CUPERTINO, CA 95014",95014,Pass,96,37.337213,-122.066788,"(37.337213,-122.066788)"
OAKMONT SANDWICHES,"19998 HOMESTEAD RD # C,CUPERTINO, CA 95014",95014,Pass,85,37.337235,-122.022823,"(37.337235,-122.022823)"
TEA ERA CAFE,"20916 HOMESTEAD RD F,CUPERTINO, CA 95014",95014,Pass,80,37.337249,-122.040227,"(37.337249,-122.040227)"
CHIPOTLE MEXICAN GRILL #2549,"20688 HOMESTEAD RD,CUPERTINO, CA 95014",95014,Pass,95,37.337314,-122.036473,"(37.337314,-122.036473)"
STARBUCKS COFFEE #5662,"11111 N WOLFE RD C,CUPERTINO, CA 95014",95014,Pass,94,37.337317,-122.014792,"(37.337317,-122.014792)"
MLS MINI MART #2,"3570 HOMESTEAD RD ,SANTA CLARA, CA 95051",95051,Pass,95,37.337358,-121.994321,"(37.337358,-121.994321)"
CHILI POT,"20956 W HOMESTEAD RD D,CUPERTINO, CA 95014",95014,Pass,83,37.337422,-122.041003,"(37.337422,-122.041003)"
GOCHI JAPANESE FUSION TAPAS,"19980 E HOMESTEAD RD,CUPERTINO, CA 95014",95014,Pass,85,37.337539,-122.023116,"(37.337539,-122.023116)"
LOS ALTOS CHEVRON FOOD MART,"2300 HOMESTEAD RD ,LOS ALTOS, CA 94024",94024,Pass,97,37.337585,-122.067941,"(37.337585,-122.067941)"
212 NEW YORK PIZZA,"19998 E HOMESTEAD RD # A,CUPERTINO, CA 95014",95014,Pass,91,37.337689,-122.02327,"(37.337689,-122.02327)"
TOGO'S,"1683 HOLLENBECK AV,SUNNYVALE, CA 94087",94087,Pass,95,37.337805,-122.042853,"(37.337805,-122.042853)"
HOMESTEAD 76,"21855 HOMESTEAD RD ,CUPERTINO, CA 95014",95014,Pass,93,37.337856,-122.058786,"(37.337856,-122.058786)"
HOUSE OF BAGELS,"1681 HOLLENBECK AV ,SUNNYVALE, CA 94087",94087,Pass,80,37.337895,-122.042853,"(37.337895,-122.042853)"
KFC-TACO BELL,"1695 HOLLENBECK RD,SUNNYVALE, CA 94087",94087,Pass,92,37.337905,-122.041873,"(37.337905,-122.041873)"
PHO LITTLE SAIGON,"855 E HOMESTEAD RD ,SUNNYVALE, CA 94087",94087,Pass,85,37.337996,-122.015611,"(37.337996,-122.015611)"
SILICON VALLEY FUELS,"1697 WOLFE RD,SUNNYVALE, CA 94087",94087,Pass,93,37.338131,-122.014712,"(37.338131,-122.014712)"
LHCF - THE FORUM AT RANCHO SAN ANTO,"23600 VIA ESPLENDOR,CUPERTINO, CA 95014",95014,Pass,92,37.338284,-122.087777,"(37.338284,-122.087777)"
WOLFE LIQUORS,"1689 S WOLFE RD ,SUNNYVALE, CA 94087",94087,Pass,95,37.338381,-122.014535,"(37.338381,-122.014535)"
NEW PORT RESTAURANT,"1686 S WOLFE RD,SUNNYVALE, CA 94087",94087,Pass,82,37.338477,-122.013866,"(37.338477,-122.013866)"
SUPER BURRITO,"1671 HOLLENBECK AV ,SUNNYVALE, CA 94087",94087,Pass,80,37.338945,-122.042493,"(37.338945,-122.042493)"
ROUND TABLE PIZZA,"1663 HOLLENBECK AV ,SUNNYVALE, CA 94087",94087,Pass,82,37.339035,-122.042493,"(37.339035,-122.042493)"
POKE-NOMICS,"1661 HOLLENBECK AV,SUNNYVALE, CA 94087",94087,Pass,89,37.339135,-122.042483,"(37.339135,-122.042483)"
BOUDIN SF - BAKERY,"20682 STEVEN CREEK BL,CUPERTINO, CA 95104",95104,Pass,79,37.339386,-121.894956,"(37.339386,-121.894956)"
ALOTTA'S,"2249 GRANT RD ,LOS ALTOS, CA 94024",94024,Pass,92,37.340707,-122.070704,"(37.340707,-122.070704)"
CUPERTINO MIDDLE SCHOOL,"1650 BERNARDO AV,SUNNYVALE, CA 94087",94087,Pass,92,37.340887,-122.058445,"(37.340887,-122.058445)"
WEST VALLEY ELEMENTARY SCHOOL,"1635 BELLEVILLE WY ,SUNNYVALE, CA 94087",94087,Pass,100,37.340933,-122.061599,"(37.340933,-122.061599)"
